Node,Domain,Type,Category,CPU,RAM,Disk,GPU,FPGA,USRP,WiFi,Devices
"node1-1","accord","Server","Compute Only (Server)","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","251.8 GB","279GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 0GB HDD","none","none","-","-","-"
"node1-2","accord","Server","Compute Only (Server)","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","251.8 GB","279GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 0GB HDD","none","none","-","-","-"
"node1-3","accord","Server","Compute Only (Server)","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","251.8 GB","279GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 0GB HDD","none","none","-","-","-"
"node1-4","accord","Server","Compute Only (Server)","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","251.8 GB","279GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 0GB HDD","none","none","-","-","-"
"node1-5","accord","Server","Compute Only (Server)","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","251.8 GB","279GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 1117GB HDD, 0GB HDD","none","none","-","-","-"
"sdr1-md1","bed","RF Device","RF Device","-","-","-","-","-","n3xx","-","-"
"sdr1-md2","bed","RF Device","RF Device","-","-","-","-","-","n3xx","-","-"
"sdr1-s1-lg1","bed","RF Device","RF Device","-","-","-","-","-","n3xx","-","-"
"sdr1-s2-lg1","bed","RF Device","RF Device","-","-","-","-","-","n3xx","-","-"
"sdr1-s3-lg1","bed","RF Device","RF Device","-","-","-","-","-","n3xx","-","-"
"sdr2-md1","bed","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","7.7 GB","232GB NVMe","none","none","X310 (PCIe)","-","-"
"sdr2-md2","bed","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","7.7 GB","232GB NVMe","none","none","X310 (PCIe)","-","-"
"sdr2-s1-lg1","bed","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","7.7 GB","232GB NVMe","none","none","X310 (PCIe)","-","-"
"sdr2-s2-lg1","bed","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","7.7 GB","232GB NVMe","none","none","X310 (PCIe)","-","-"
"sdr2-s3-lg1","bed","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","7.7 GB","232GB NVMe","none","none","X310 (PCIe)","-","-"
"srv1-co1","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","185GB HDD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 Golden Image","-","-","-"
"srv1-lg1","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","186GB SSD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"srv1-lg2","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz","188.1 GB","446GB SSD","NVIDIA Corporation GA100 [A100 PCIe 80GB] (rev a1)","Xilinx Corporation Alveo U200 Golden Image","-","-","-"
"srv2-co1","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","180.4 GB","185GB HDD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 Golden Image","-","-","-"
"srv2-lg1","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","185GB HDD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"srv2-lg2","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz","188.1 GB","446GB SSD","NVIDIA Corporation GA100 [A100 PCIe 80GB] (rev a1)","Xilinx Corporation Alveo U200 Golden Image","-","-","-"
"srv3-lg1","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","185GB HDD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"srv3-lg2","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz","188.1 GB","446GB SSD","NVIDIA Corporation GA100 [A100 PCIe 80GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"srv4-lg1","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","185GB HDD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"srv4-lg2","bed","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6326 CPU @ 2.90GHz","188.1 GB","446GB SSD","NVIDIA Corporation GA100 [A100 PCIe 80GB] (rev a1)","Xilinx Corporation Alveo U200 Golden Image","-","-","-"
"node1-1","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node1-10","grid","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","-","-"
"node1-11","grid","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","3.8 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node1-12","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node1-14","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","-"
"node1-15","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz","15.5 GB","111GB SSD","none","none","-","Atheros AR958x 802.11abgn Wireless Network Adapter, Inc. and subsidiaries BCM4352 802.11ac Dual Band Wireless Network Adapter","TI XDS"
"node1-18","grid","Node","Compute Only (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","LTE"
"node1-19","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node1-2","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node1-20","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node1-4","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","-"
"node1-8","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","-"
"node10-1","grid","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node10-10","grid","Node","SDR Node","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","usrp2","-","WiMAX"
"node10-11","grid","Node","Compute Only (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node10-17","grid","Node","Compute Only (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","WiMAX"
"node10-4","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Atheros AR958x 802.11abgn Wireless Network Adapter","LTE"
"node10-7","grid","Node","Compute Only (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node11-10","grid","Node","SDR Node (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","usrp2","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node11-14","grid","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","-","WiMAX"
"node11-17","grid","Node","Compute Only (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), 802.11 n WLAN","Mote"
"node11-19","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","232GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node11-20","grid","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node11-4","grid","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","Mote"
"node11-7","grid","Node","Compute Only (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","WiMAX"
"node12-1","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX, Mote"
"node12-19","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","232GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Wireless 7260","-"
"node12-20","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX, Mote"
"node13-1","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Wireless 7260","-"
"node13-13","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node13-14","grid","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","B210 (USB)","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX, Movidius"
"node13-18","grid","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node13-19","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","232GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Atheros AR9462 Wireless Network Adapter,  ","-"
"node13-20","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak], ATHER USB2.0 WLAN","WiMAX"
"node13-7","grid","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","B210 (USB)","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX, Movidius"
"node13-8","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node14-10","grid","Node","Compute Only (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node14-11","grid","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node14-12","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Wireless 7260","Mote"
"node14-14","grid","Node","SDR Node","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","usrp2","-","-"
"node14-19","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","232GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Atheros AR9462 Wireless Network Adapter,  ","-"
"node14-7","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","-","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node14-8","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","-"
"node14-9","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Wireless 7260","RTL-SDR, Mote"
"node15-1","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX, TI XDS"
"node15-15","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","Ubertooth, WiMAX"
"node15-19","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","232GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Atheros AR9462 Wireless Network Adapter,  ","-"
"node15-20","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","TI XDS, WiMAX"
"node15-6","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","232GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Inc. and subsidiaries BCM4352 802.11ac Dual Band Wireless Network Adapter","Ubertooth"
"node16-1","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","Mote, WiMAX"
"node16-16","grid","Node","Compute Only (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","RTL-SDR, Mote"
"node16-19","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","232GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Atheros AR9462 Wireless Network Adapter,  ","-"
"node16-20","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","RTL-SDR, Mote"
"node16-5","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Atheros AR922X Wireless Network Adapter","Mote"
"node17-10","grid","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","Mote"
"node17-11","grid","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","802.11 n WLAN","WiMAX, Mote"
"node17-20","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","-"
"node17-3","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","232GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Inc. and subsidiaries BCM4352 802.11ac Dual Band Wireless Network Adapter","Mote"
"node18-1","grid","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","X310 (PCIe)","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","Mote, WiMAX"
"node18-10","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","232GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Atheros AR9462 Wireless Network Adapter,  ","-"
"node18-11","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","232GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Atheros AR9462 Wireless Network Adapter,  ","-"
