Node,Domain,Type,Category,CPU,RAM,Disk,GPU,FPGA,USRP,WiFi,Devices
"node23-5","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node23-6","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node23-7","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node23-8","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-1","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-11","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-12","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-14","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-15","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-16","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-17","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-18","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-3","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-4","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-5","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-6","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-7","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-8","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node3-1","grid","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","X310 (PCIe)","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node3-13","grid","Node","Compute Only (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","LTE"
"node3-19","grid","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","B210 (USB)","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX, Movidius"
"node3-2","grid","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","B210 (USB)","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX, Movidius"
"node3-20","grid","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","X310 (PCIe)","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node3-8","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","232GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Inc. and subsidiaries BCM4352 802.11ac Dual Band Wireless Network Adapter","-"
"node4-1","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node7-1","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","-"
"node7-10","grid","Node","Compute Only (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node7-11","grid","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node7-12","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Wireless 7260","-"
"node7-14","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node7-20","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","-"
"node7-7","grid","Node","SDR Node (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","223GB SSD","none","none","usrp2","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node7-8","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Wireless 7260","-"
"node7-9","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Wireless 7260","-"
"node8-1","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","-"
"node8-14","grid","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","B210 (USB)","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX, Movidius"
"node8-18","grid","Node","Compute Only (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), 802.11 n WLAN","-"
"node8-20","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), 802.11 n WLAN","-"
"node8-3","grid","Node","Compute Only (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","LTE"
"node8-7","grid","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","B210 (USB)","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak], ATHER USB2.0 WLAN","WiMAX"
"node8-8","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node9-1","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","-"
"node9-14","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","-"
"node9-20","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","-"
"node9-7","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","-"
"node2-1","indigo","Server","Compute Only (Server)","Intel(R) Xeon(R) CPU E5645 @ 2.40GHz","94.4 GB","223GB HDD, 3726GB HDD","none","none","-","-","-"
"node2-10","indigo","Server","Compute Only (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","188.6 GB","447GB HDD, 1788GB HDD, 1788GB HDD, 0GB HDD","none","none","-","-","-"
"node2-2","indigo","Server","Compute Only (Server)","Intel(R) Xeon(R) CPU E5645 @ 2.40GHz","94.4 GB","223GB HDD, 3726GB HDD","none","none","-","-","-"
"node2-3","indigo","Server","Compute Only (Server)","Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz","755.8 GB","223GB HDD, 1863GB HDD, 1863GB HDD, 1863GB HDD, 1863GB HDD, 1863GB HDD, 1863GB HDD","none","none","-","-","-"
"node2-4","indigo","Server","Compute Only (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","188.6 GB","447GB HDD, 1788GB HDD, 1788GB HDD, 0GB HDD","none","none","-","-","-"
"node2-5","indigo","Server","Compute Only (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","188.6 GB","447GB HDD, 1788GB HDD, 1788GB HDD, 0GB HDD","none","none","-","-","-"
"node2-6","indigo","Server","Compute Only (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","188.6 GB","447GB HDD, 1788GB HDD, 1788GB HDD, 0GB HDD","none","none","-","-","-"
"node2-7","indigo","Server","Compute Only (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","188.6 GB","447GB HDD, 1788GB HDD, 1788GB HDD, 0GB HDD","none","none","-","-","-"
"node2-8","indigo","Server","Compute Only (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","172.8 GB","447GB HDD, 1788GB HDD, 1788GB HDD, 0GB HDD","none","none","-","-","-"
"node2-9","indigo","Server","Compute Only (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","188.6 GB","447GB HDD, 1788GB HDD, 1788GB HDD, 0GB HDD","none","none","-","-","-"
"srv1","osc","Server","Compute Only (Server)","Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz","251.5 GB","238GB SSD","none","none","-","-","-"
"srv5","osc","Server","Compute Only (Server)","Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz","251.8 GB","1117GB HDD, 1117GB HDD, 1788GB SSD, 1117GB HDD, 1117GB HDD","none","none","-","-","-"
"mob4-1","sb1","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","7.7 GB","232GB NVMe","none","none","x300","802.11n WLAN Adapter","-"
"mob4-2","sb1","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","15.5 GB","465GB NVMe","none","none","x300","802.11n WLAN Adapter","-"
"rfdev-sdr1-piradio","sb1","RF Device","RF Device","-","-","-","-","-","unknown","-","-"
"rfdev-sdr1-radar","sb1","RF Device","RF Device","-","-","-","-","-","unknown","-","-"
"rfdev-sdr2-piradio","sb1","RF Device","RF Device","-","-","-","-","-","unknown","-","-"
"rfdev-sdr2-radar","sb1","RF Device","RF Device","-","-","-","-","-","unknown","-","-"
"rfdev3-in1","sb1","RF Device","RF Device","-","-","-","-","-","unknown","-","-"
"rfdev4-in1","sb1","RF Device","RF Device","-","-","-","-","-","unknown","-","-"
"rfdev4-in2","sb1","RF Device","RF Device","-","-","-","-","-","unknown","-","-"
"sdr1-in1","sb1","RF Device","RF Device","-","-","-","-","-","n3xx","-","-"
"sdr1-in2","sb1","RF Device","RF Device","-","-","-","-","-","n3xx","-","-"
"sdr1-md1","sb1","RF Device","RF Device","-","-","-","-","-","n3xx","-","-"
"sdr1-piradio","sb1","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","15.5 GB","465GB NVMe","none","none","X310 (PCIe)","-","-"
"sdr1-radar","sb1","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","7.7 GB","232GB NVMe","none","none","X310 (PCIe)","-","-"
"sdr1-s1-lg1","sb1","RF Device","RF Device","-","-","-","-","-","n3xx","-","-"
"sdr2-in2","sb1","RF Device","RF Device","-","-","-","-","-","unknown","-","-"
"sdr2-md1","sb1","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","15.5 GB","465GB NVMe","none","none","X310 (PCIe)","-","-"
"sdr2-piradio","sb1","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","7.7 GB","232GB NVMe","none","none","X310 (PCIe)","-","-"
"sdr2-radar","sb1","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","7.7 GB","232GB NVMe","none","none","X310 (PCIe)","-","-"
"sdr2-s1-lg1","sb1","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","15.5 GB","465GB NVMe","none","none","X310 (PCIe)","-","-"
"srv1-in1","sb1","Server","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","232GB SSD","none","none","-","-","-"
"srv1-in2","sb1","Server","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","232GB SSD","none","none","-","-","-"
"srv1-lg1","sb1","Server","GPU Compute (Server)","Intel(R) Xeon(R) Gold 6226 CPU @ 2.70GHz","187.5 GB","223GB HDD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","none","-","-","-"
"srv2-lg1","sb1","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6226 CPU @ 2.70GHz","187.5 GB","223GB HDD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 Golden Image","-","-","-"
"node1-1","sb1","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","B210 (USB)","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node1-2","sb1","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","B210 (USB)","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","Movidius, WiMAX"
"node1-1","sb2","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","238GB SSD","none","none","x300","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node1-2","sb2","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","238GB SSD","none","none","x300","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node1-1","sb3","Node","SDR Node (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node1-2","sb3","Node","SDR Node (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node1-1","sb4","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","-","WiMAX"
"node1-7","sb4","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","-","WiMAX"
"node1-8","sb4","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","-","WiMAX"
"node1-1","sb9","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","223GB SSD, 14GB HDD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"node1-2","sb9","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","223GB SSD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"node1-3","sb9","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","232GB SSD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"node1-4","sb9","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","223GB SSD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"node1-5","sb9","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","223GB SSD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Device 913f","-","-","-"
"node1-6","sb9","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","223GB SSD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Device 913f","-","-","-"
"node1-7","sb9","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","223GB SSD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"node1-8","sb9","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz","187.5 GB","223GB SSD","NVIDIA Corporation GV100GL [Tesla V100 PCIe 16GB] (rev a1)","Xilinx Corporation Alveo U200 XDMA Platform","-","-","-"
"sdr2-s1-lg1","weeks","Node","SDR Node (Gen6)","Intel(R) Core(TM) i7-6822EQ CPU @ 2.00GHz","15.5 GB","465GB NVMe","none","none","x300","-","-"
"srv1-in1","weeks","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz","15.5 GB","232GB SSD","none","none","-","-","-"
"srv1-in2","weeks","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"srv2-lg1","weeks","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6226 CPU @ 2.70GHz","187.5 GB","446GB SSD","NVIDIA Corporation GA100 [A100 PCIe 40GB] (rev a1)","Xilinx Corporation Alveo U200 Golden Image","-","af:00.0 Ethernet controller: M, af:00.1 Ethernet controller: M","-"
"srv3-lg1","weeks","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6226 CPU @ 2.70GHz","187.5 GB","446GB SSD","NVIDIA Corporation GA100 [A100 PCIe 40GB] (rev a1)","Xilinx Corporation Alveo U200 Golden Image","-","af:00.0 Ethernet controller: M, af:00.1 Ethernet controller: M","-"
"srv4-lg1","weeks","Server","GPU + FPGA (Server)","Intel(R) Xeon(R) Gold 6226 CPU @ 2.70GHz","187.5 GB","446GB SSD","NVIDIA Corporation GA100 [A100 PCIe 40GB] (rev a1)","Xilinx Corporation Alveo U200 Golden Image","-","af:00.0 Ethernet controller: M, af:00.1 Ethernet controller: M","-"